year,overall_rating,player_name
2012,68.0,Jonas Ivens
2013,65.83333333333333,Jonas Ivens
2014,64.0,Jonas Ivens
2007,58.0,Brecht Verbrugghe
2008,58.0,Brecht Verbrugghe
2009,63.0,Brecht Verbrugghe
2007,62.0,Pedro Kamata
2008,62.0,Pedro Kamata
2009,67.0,Pedro Kamata
2010,69.5,Pedro Kamata
2011,69.0,Pedro Kamata
2007,75.0,Fabian Vargas
2008,75.0,Fabian Vargas
2009,75.0,Fabian Vargas
2010,73.5,Fabian Vargas
2011,71.0,Fabian Vargas
2012,70.0,Fabian Vargas
2014,68.66666666666667,Fabian Vargas
2015,68.05882352941177,Fabian Vargas
2007,66.5,Santiago Acasiete
2008,72.0,Santiago Acasiete
2009,73.0,Santiago Acasiete
2010,75.0,Santiago Acasiete
2011,69.0,Santiago Acasiete
2012,65.0,Santiago Acasiete
2013,65.0,Santiago Acasiete
2014,65.0,Santiago Acasiete
2007,76.5,Fabian Canobbio
2008,74.0,Fabian Canobbio
2009,75.0,Fabian Canobbio
2010,76.0,Fabian Canobbio
2007,60.0,Toni Lehtinen
2009,60.0,Toni Lehtinen
2010,59.0,Toni Lehtinen
2007,60.0,Sebastian Sorsa
2008,60.0,Sebastian Sorsa
2009,60.0,Sebastian Sorsa
2014,60.0,Sebastian Sorsa
2015,61.0,Sebastian Sorsa
2016,61.0,Sebastian Sorsa
2007,57.0,Roni Porokara
2008,57.0,Roni Porokara
2009,67.0,Roni Porokara
2010,68.5,Roni Porokara
2011,66.0,Roni Porokara
2012,64.5,Roni Porokara
2013,64.0,Roni Porokara
2007,63.0,Kasper Haemaelaeinen
2010,64.5,Kasper Haemaelaeinen
2011,68.0,Kasper Haemaelaeinen
2012,70.0,Kasper Haemaelaeinen
2013,67.18181818181819,Kasper Haemaelaeinen
2014,66.81818181818181,Kasper Haemaelaeinen
2015,68.9,Kasper Haemaelaeinen
2016,70.33333333333333,Kasper Haemaelaeinen
2007,46.0,Anssi Jaakkola
2008,52.0,Anssi Jaakkola
2009,52.5,Anssi Jaakkola
2010,58.0,Anssi Jaakkola
2011,62.0,Anssi Jaakkola
2012,61.0,Anssi Jaakkola
2013,57.0,Anssi Jaakkola
2007,66.0,Tom van Hyfte
2015,66.0,Tom van Hyfte
2016,67.0,Tom van Hyfte
2007,59.0,Kristian Nushi
2008,59.0,Kristian Nushi
2009,63.0,Kristian Nushi
2010,60.0,Kristian Nushi
2011,62.0,Kristian Nushi
2012,62.0,Kristian Nushi
2013,61.5,Kristian Nushi
2014,62.0,Kristian Nushi
2007,48.0,Anthony Favre
2008,58.0,Anthony Favre
2009,58.0,Anthony Favre
2011,58.0,Anthony Favre
2012,59.0,Anthony Favre
2013,59.0,Anthony Favre
2014,59.5,Anthony Favre
2015,60.0,Anthony Favre
2007,55.0,Thierno Bah
2008,51.0,Thierno Bah
2009,55.0,Thierno Bah
2010,55.0,Thierno Bah
2011,55.0,Thierno Bah
2012,59.0,Thierno Bah
2013,63.0,Thierno Bah
2007,50.0,Tibert Pont
2008,50.0,Tibert Pont
2009,57.0,Tibert Pont
2011,57.0,Tibert Pont
2012,57.0,Tibert Pont
2013,57.0,Tibert Pont
2007,45.0,Jerome Schneider
2008,48.0,Jerome Schneider
2009,54.0,Jerome Schneider
2011,54.0,Jerome Schneider
2012,54.5,Jerome Schneider
2013,54.0,Jerome Schneider
2007,59.0,Josip Colina
2008,58.0,Josip Colina
2009,58.0,Josip Colina
2010,58.0,Josip Colina
2007,62.0,Alessandro Iandoli
2008,62.0,Alessandro Iandoli
2009,62.0,Alessandro Iandoli
2010,62.0,Alessandro Iandoli
2011,66.0,Alessandro Iandoli
2013,66.0,Alessandro Iandoli
2015,66.0,Alessandro Iandoli
2016,66.0,Alessandro Iandoli
2007,51.0,Michele Polverino
2008,51.0,Michele Polverino
2009,54.0,Michele Polverino
2010,58.0,Michele Polverino
2012,58.0,Michele Polverino
2013,56.0,Michele Polverino
2014,58.0,Michele Polverino
2015,59.333333333333336,Michele Polverino
2016,60.0,Michele Polverino
2007,73.0,Marco Perez
2010,73.0,Marco Perez
2011,64.0,Marco Perez
2013,69.0,Marco Perez
2014,66.9,Marco Perez
2015,66.88888888888889,Marco Perez
2016,69.0,Marco Perez
2007,52.0,Stefan Nater
2011,52.0,Stefan Nater
2012,57.0,Stefan Nater
2013,57.25,Stefan Nater
2014,57.666666666666664,Stefan Nater
2007,51.0,Thomas Reinmann
2008,51.0,Thomas Reinmann
2010,51.0,Thomas Reinmann
2011,61.0,Thomas Reinmann
2012,60.5,Thomas Reinmann
2013,60.75,Thomas Reinmann
2014,62.0,Thomas Reinmann
2015,62.0,Thomas Reinmann
2007,47.0,Angelo Raso
2008,47.0,Angelo Raso
2009,55.0,Angelo Raso
2010,55.0,Angelo Raso
2007,64.0,Cristian Florin Ianu
2008,65.0,Cristian Florin Ianu
2009,65.0,Cristian Florin Ianu
2010,65.0,Cristian Florin Ianu
2011,64.5,Cristian Florin Ianu
2012,64.0,Cristian Florin Ianu
2015,63.25,Cristian Florin Ianu
2007,63.0,Marco Padalino
2008,73.0,Marco Padalino
2009,75.0,Marco Padalino
2010,73.0,Marco Padalino
2011,69.0,Marco Padalino
2012,66.0,Marco Padalino
2013,64.0,Marco Padalino
2015,64.0,Marco Padalino
2016,64.0,Marco Padalino
2007,41.0,Antoine Rey
2008,65.0,Antoine Rey
2009,65.0,Antoine Rey
2010,65.0,Antoine Rey
2015,64.66666666666667,Antoine Rey
2016,61.0,Antoine Rey
2007,67.0,Nikica Jelavic
2008,61.0,Nikica Jelavic
2009,68.0,Nikica Jelavic
2010,71.5,Nikica Jelavic
2011,75.5,Nikica Jelavic
2012,76.5,Nikica Jelavic
2013,76.875,Nikica Jelavic
2014,74.75,Nikica Jelavic
2015,73.33333333333333,Nikica Jelavic
2007,52.0,Ryan Thomson
2011,52.0,Ryan Thomson
2007,69.0,Hrvoje Cale
2008,69.0,Hrvoje Cale
2009,71.5,Hrvoje Cale
2010,71.0,Hrvoje Cale
2011,68.5,Hrvoje Cale
2012,66.0,Hrvoje Cale
2013,65.33333333333333,Hrvoje Cale
2014,64.5,Hrvoje Cale
2015,65.0,Hrvoje Cale
2007,72.0,Dino Drpic
2009,71.0,Dino Drpic
2010,69.0,Dino Drpic
2011,69.0,Dino Drpic
2007,56.0,Mile Jedinak
2008,61.0,Mile Jedinak
2009,63.5,Mile Jedinak
2010,69.0,Mile Jedinak
2011,68.5,Mile Jedinak
2012,69.0,Mile Jedinak
2013,73.0,Mile Jedinak
2014,74.33333333333333,Mile Jedinak
2015,75.66666666666667,Mile Jedinak
2016,76.0,Mile Jedinak
2007,69.0,Mensur Mujdza
2009,69.0,Mensur Mujdza
2010,68.0,Mensur Mujdza
2011,70.5,Mensur Mujdza
2012,71.5,Mensur Mujdza
2013,72.33333333333333,Mensur Mujdza
2014,72.25,Mensur Mujdza
2015,71.83333333333333,Mensur Mujdza
2016,70.33333333333333,Mensur Mujdza
2007,66.0,Ivica Vrdoljak
2010,66.0,Ivica Vrdoljak
2011,68.5,Ivica Vrdoljak
2012,68.5,Ivica Vrdoljak
2013,67.54545454545455,Ivica Vrdoljak
2014,68.2,Ivica Vrdoljak
2015,69.0,Ivica Vrdoljak
2016,69.0,Ivica Vrdoljak
2007,67.0,"Ivan Radeljic,18"
2008,67.0,"Ivan Radeljic,18"
2009,67.0,"Ivan Radeljic,18"
2010,67.0,"Ivan Radeljic,18"
2007,70.0,Tomislav Dujmovic
2009,70.0,Tomislav Dujmovic
2010,70.5,Tomislav Dujmovic
2011,72.0,Tomislav Dujmovic
2012,71.5,Tomislav Dujmovic
2013,67.0,Tomislav Dujmovic
2007,61.0,Yasin Karaca
2008,61.0,Yasin Karaca
2007,65.0,Joost Volmer
2008,64.0,Joost Volmer
2007,52.0,Janos Balogh
2008,52.0,Janos Balogh
2009,67.0,Janos Balogh
2010,63.0,Janos Balogh
2011,62.0,Janos Balogh
2014,62.0,Janos Balogh
2007,65.0,Tibor Tisza
2011,65.0,Tibor Tisza
2007,70.0,Peter Czvitkovics
2011,70.0,Peter Czvitkovics
2012,67.0,Peter Czvitkovics
2007,63.0,Balazs Toth
2008,65.0,Balazs Toth
2009,66.0,Balazs Toth
2010,66.0,Balazs Toth
2011,66.0,Balazs Toth
2007,60.0,Oleksandr Shevelyukhin
2012,63.0,Oleksandr Shevelyukhin
2013,66.33333333333333,Oleksandr Shevelyukhin
2014,64.0,Oleksandr Shevelyukhin
2015,65.0,Oleksandr Shevelyukhin
2016,64.66666666666667,Oleksandr Shevelyukhin
2007,75.0,Alejandro Dominguez
2009,75.0,Alejandro Dominguez
2010,78.0,Alejandro Dominguez
2011,74.5,Alejandro Dominguez
2012,73.5,Alejandro Dominguez
2013,75.66666666666667,Alejandro Dominguez
2014,76.0,Alejandro Dominguez
2015,76.2,Alejandro Dominguez
2007,75.0,Stanislav Vlcek
2008,70.0,Stanislav Vlcek
2009,73.0,Stanislav Vlcek
2010,73.0,Stanislav Vlcek
2011,71.0,Stanislav Vlcek
2007,62.0,Evaldas Razulis
2011,62.0,Evaldas Razulis
2015,62.0,Evaldas Razulis
2007,68.0,Diniyar Bilyaletdinov
2008,74.0,Diniyar Bilyaletdinov
2009,79.0,Diniyar Bilyaletdinov
2010,76.0,Diniyar Bilyaletdinov
2011,74.0,Diniyar Bilyaletdinov
2012,75.0,Diniyar Bilyaletdinov
2013,74.0,Diniyar Bilyaletdinov
2014,71.33333333333333,Diniyar Bilyaletdinov
2015,71.8,Diniyar Bilyaletdinov
2016,70.66666666666667,Diniyar Bilyaletdinov
2007,67.0,Andris Vanins
2009,67.0,Andris Vanins
2010,67.0,Andris Vanins
2011,69.5,Andris Vanins
2012,71.5,Andris Vanins
2013,72.0,Andris Vanins
2014,70.5,Andris Vanins
2015,66.2,Andris Vanins
2016,69.0,Andris Vanins
2007,63.0,Robbie Haemhouts
2012,63.0,Robbie Haemhouts
2013,63.0,Robbie Haemhouts
2014,63.5,Robbie Haemhouts
2015,66.0,Robbie Haemhouts
2007,69.0,Robert Jez
2011,69.0,Robert Jez
2012,66.0,Robert Jez
2013,65.66666666666667,Robert Jez
2014,64.4,Robert Jez
2015,64.2,Robert Jez
2007,67.0,Pavel Krmas
2008,67.0,Pavel Krmas
2009,69.0,Pavel Krmas
2010,69.0,Pavel Krmas
2011,68.0,Pavel Krmas
2012,67.5,Pavel Krmas
2013,68.0,Pavel Krmas
2014,68.4,Pavel Krmas
2015,68.66666666666667,Pavel Krmas
2007,52.0,Petr Jiracek
2009,52.5,Petr Jiracek
2010,59.0,Petr Jiracek
2011,74.0,Petr Jiracek
2012,75.0,Petr Jiracek
2013,74.88888888888889,Petr Jiracek
2014,72.8,Petr Jiracek
2015,72.5,Petr Jiracek
2007,73.0,Maros Klimpl
2008,68.0,Maros Klimpl
2007,62.0,Tomas Cerny
2008,62.0,Tomas Cerny
2009,74.0,Tomas Cerny
2010,71.5,Tomas Cerny
2011,66.0,Tomas Cerny
2015,66.66666666666667,Tomas Cerny
2016,67.0,Tomas Cerny
2007,66.0,Roman Hubnik
2009,68.0,Roman Hubnik
2010,71.5,Roman Hubnik
2011,72.0,Roman Hubnik
2012,74.0,Roman Hubnik
2013,72.0,Roman Hubnik
2016,72.0,Roman Hubnik
2007,56.0,Vojtech Schulmeister
2008,60.0,Vojtech Schulmeister
2009,62.0,Vojtech Schulmeister
2010,63.0,Vojtech Schulmeister
2007,63.0,Matej Krajcik
2008,68.0,Matej Krajcik
2009,69.5,Matej Krajcik
2010,70.0,Matej Krajcik
2007,59.0,Michal Svec
2008,58.0,Michal Svec
2009,69.0,Michal Svec
2010,68.5,Michal Svec
2011,68.5,Michal Svec
2012,67.0,Michal Svec
2007,62.0,Csaba Horvath
2008,62.0,Csaba Horvath
2009,65.0,Csaba Horvath
2010,65.5,Csaba Horvath
2011,60.0,Csaba Horvath
2012,61.5,Csaba Horvath
2013,63.5,Csaba Horvath
2014,62.666666666666664,Csaba Horvath
2007,43.0,Konstantin Engel
2008,43.0,Konstantin Engel
2009,59.0,Konstantin Engel
2010,59.0,Konstantin Engel
2011,61.0,Konstantin Engel
2012,60.0,Konstantin Engel
2013,64.0,Konstantin Engel
2014,64.8,Konstantin Engel
2015,65.66666666666667,Konstantin Engel
2007,62.0,Roman Prokoph
2010,63.5,Roman Prokoph
2011,61.5,Roman Prokoph
2007,62.0,Lucas
2011,66.5,Lucas
2012,64.0,Lucas
2014,64.16666666666667,Lucas
2015,73.14285714285714,Lucas
2016,77.5,Lucas
2007,54.0,Jean-Louis Leca
2008,53.0,Jean-Louis Leca
2009,63.0,Jean-Louis Leca
2010,63.0,Jean-Louis Leca
2011,63.5,Jean-Louis Leca
2012,63.0,Jean-Louis Leca
2013,63.0,Jean-Louis Leca
2014,67.0,Jean-Louis Leca
2015,69.75,Jean-Louis Leca
2016,71.0,Jean-Louis Leca
2007,49.0,Florent Ghisolfi
2008,58.0,Florent Ghisolfi
2010,56.0,Florent Ghisolfi
2011,58.0,Florent Ghisolfi
2012,61.0,Florent Ghisolfi
2013,62.666666666666664,Florent Ghisolfi
2014,63.5,Florent Ghisolfi
2007,58.0,Benoit Costil
2008,58.0,Benoit Costil
2009,61.0,Benoit Costil
2010,68.0,Benoit Costil
2011,72.5,Benoit Costil
2012,77.5,Benoit Costil
2013,78.33333333333333,Benoit Costil
2014,78.16666666666667,Benoit Costil
2015,81.0,Benoit Costil
2007,63.0,Steeve Elana
2008,64.0,Steeve Elana
2009,63.0,Steeve Elana
2010,69.5,Steeve Elana
2011,75.5,Steeve Elana
2012,76.0,Steeve Elana
2013,75.0,Steeve Elana
2014,74.0,Steeve Elana
2015,74.0,Steeve Elana
2007,74.0,Vincent Plante
2008,73.0,Vincent Plante
2009,74.0,Vincent Plante
2010,74.0,Vincent Plante
2011,69.0,Vincent Plante
2012,63.0,Vincent Plante
2013,63.0,Vincent Plante
2015,63.0,Vincent Plante
2016,59.0,Vincent Plante
2007,70.0,Cedric Hengbart
2008,68.0,Cedric Hengbart
2009,71.0,Cedric Hengbart
2010,77.0,Cedric Hengbart
2011,77.5,Cedric Hengbart
2012,73.5,Cedric Hengbart
2013,71.75,Cedric Hengbart
2014,71.0,Cedric Hengbart
2007,67.0,Nicolas Seube
2008,67.0,Nicolas Seube
2009,70.0,Nicolas Seube
2010,69.0,Nicolas Seube
2011,71.5,Nicolas Seube
2012,70.5,Nicolas Seube
2013,70.5,Nicolas Seube
2014,67.66666666666667,Nicolas Seube
2015,69.0,Nicolas Seube
2016,71.66666666666667,Nicolas Seube
2007,66.0,Anthony Deroin
2008,69.0,Anthony Deroin
2009,71.0,Anthony Deroin
2010,70.0,Anthony Deroin
2011,67.5,Anthony Deroin
2012,68.0,Anthony Deroin
